"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class_weight","dataset","es_metric","es_patience","gpu_ids","group","lr","mode","model","momentum","n_epochs","n_train_samples","name","no_pretrain","no_wandb","offline","project","scheduler_patience","seed","y_labels","test_accuracy","test_f1","test_precision","test_recall","train_accuracy","train_f1","train_loss","train_precision","train_recall","val_accuracy","val_f1","val_loss","val_precision","val_recall"
"alexnet_n=40_all (2024.05.21. 19:24)","finished","-","","","2024-05-21T11:24:18.000Z","110","","100","false","fayoum","loss","30","[0,1]","alexnet_n=40_all","0.0001","all","alexnet","0.9","5000","40","alexnet_n=40_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8819444179534912","0.8739832639694214","0.9015151262283324","0.8819444179534912","0.8656986951828003","0.8627002239227295","0.06687216460704803","0.8625501394271851","0.8656986951828003","0.8543956279754639","0.8535470366477966","6.832289941608906","0.8671365976333618","0.8543956279754639"
"alexnet_n=8_all (2024.05.21. 19:17)","finished","-","","","2024-05-21T11:18:18.000Z","9773","","100","false","fayoum","loss","30","[0,1]","alexnet_n=8_all","0.0001","all","alexnet","0.9","5000","8","alexnet_n=8_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.785453200340271","0.7279245853424072","0.729955792427063","0.785453200340271","0.8293654918670654","0.8127201795578003","0.000011492655506696211","0.8088746070861816","0.8293654918670654","0.8159340620040894","0.7984890341758728","3.850530505180359","0.7948232293128967","0.8159340620040894"
"resnet50_n=40_all (2024.05.21. 18:53)","finished","-","","","2024-05-21T10:53:12.000Z","1861","","100","false","fayoum","loss","30","[0,1]","resnet50_n=40_all","0.0001","all","resnet50","0.9","5000","40","resnet50_n=40_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8194444179534912","0.8043403625488281","0.800000011920929","0.8194444179534912","0.8922703266143799","0.8864014148712158","0.05786224454641342","0.8815789222717285","0.8922703266143799","0.7802197933197021","0.7715357542037964","11.518399804830551","0.7767857313156128","0.7802197933197021"
"alexnet_n=20_all (2024.05.21. 18:51)","finished","-","","","2024-05-21T10:51:31.000Z","97","","100","false","fayoum","loss","30","[0,1]","alexnet_n=20_all","0.0001","all","alexnet","0.9","5000","20","alexnet_n=20_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.8333333730697632","0.8014706373214722","0.7827380895614624","0.8333333730697632","0.817301869392395","0.7972055673599243","0.014203179420696365","0.7927699685096741","0.817301869392395","0.8159340620040894","0.8150966167449951","6.285478949546814","0.8236842155456543","0.8159340620040894"
"resnet50_n=8_all (2024.05.21. 18:20)","finished","-","","","2024-05-21T10:21:00.000Z","3412","","100","false","fayoum","loss","30","[0,1]","resnet50_n=8_all","0.0001","all","resnet50","0.9","5000","8","resnet50_n=8_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.6889619827270508","0.6260504722595215","0.6205465197563171","0.6889619827270508","0.7032216787338257","0.66550612449646","0.001282865350896662","0.6706647872924805","0.7032216787338257","0.8249838352203369","0.8069430589675903","6.263364205757777","0.8000801801681519","0.8249838352203369"
"resnet50_n=20_all (2024.05.21. 18:18)","finished","-","","","2024-05-21T10:18:06.000Z","2000","","100","false","fayoum","loss","30","[0,1]","resnet50_n=20_all","0.0001","all","resnet50","0.9","5000","20","resnet50_n=20_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.706944465637207","0.6770833730697632","0.726190447807312","0.706944465637207","0.8196282982826233","0.8115071058273315","0.01206237512330214","0.8202660083770752","0.8196282982826233","0.634615421295166","0.5898487567901611","10.976221978664398","0.5590909123420715","0.634615421295166"
"alexnet_n=8_all (2024.05.21. 17:19)","finished","-","","","2024-05-21T09:19:17.000Z","3524","","100","false","fayoum","loss","30","[0,1]","alexnet_n=8_all","0.0001","all","alexnet","0.9","5000","8","alexnet_n=8_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.7555555701255798","0.7464589476585388","0.7680296897888184","0.7555555701255798","0.794397234916687","0.7905749082565308","0.000019647302741015494","0.8023402094841003","0.794397234916687","0.8186813592910767","0.8300478458404541","4.368084867795308","0.8690476417541504","0.8186813592910767"
"alexnet_n=4_all (2024.05.21. 17:09)","finished","-","","","2024-05-21T09:10:09.000Z","4246","","100","false","fayoum","loss","30","[0,1]","alexnet_n=4_all","0.0001","all","alexnet","0.9","5000","4","alexnet_n=4_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.8055555820465088","0.7853959798812866","0.824999988079071","0.8055555820465088","0.8279932141304016","0.8271222114562988","0.00000441875388126143","0.8756430149078369","0.8279932141304016","0.6996337175369263","0.7113053798675537","2.0083494159308346","0.771386981010437","0.6996337175369263"
"resnet50_n=8_all (2024.05.21. 17:00)","finished","-","","","2024-05-21T09:00:59.000Z","1094","","100","false","fayoum","loss","30","[0,1]","resnet50_n=8_all","0.0001","all","resnet50","0.9","5000","8","resnet50_n=8_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.5751461982727051","0.5794321298599243","0.5946969985961914","0.5751461982727051","0.5968238115310669","0.5783785581588745","0.003778452222997492","0.6156798601150513","0.5968238115310669","0.4620232880115509","0.39529913663864136","8.10584400097529","0.43214285373687744","0.4620232880115509"
"alexnet_n=4_all (2024.05.21. 16:59)","finished","-","","","2024-05-21T08:59:01.000Z","116","","100","false","fayoum","loss","30","[0,1]","alexnet_n=4_all","0.0001","all","alexnet","0.9","5000","4","alexnet_n=4_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.573903501033783","0.6001291871070862","0.6677083373069763","0.573903501033783","0.5226680040359497","0.5148161053657532","0.00005610341163860126","0.6465745568275452","0.5226680040359497","0.5499353408813477","0.5587561130523682","3.7191722826524214","0.6162878274917603","0.5499353408813477"
"resnet50_n=4_all (2024.05.21. 16:57)","finished","-","","","2024-05-21T08:58:01.000Z","702","","100","false","fayoum","loss","30","[0,1]","resnet50_n=4_all","0.0001","all","resnet50","0.9","5000","4","resnet50_n=4_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","8","ripeness","0.4875730872154236","0.292377769947052","0.4484848380088806","0.4875730872154236","0.4649733304977417","0.3486683964729309","0.005198795009743084","0.4009009003639221","0.4649733304977417","0.4852941036224365","0.3268398344516754","5.034009619192644","0.2537499964237213","0.4852941036224365"
"resnet50_n=4_all (2024.05.21. 16:57)","finished","-","","","2024-05-21T08:57:41.000Z","77","","100","false","fayoum","loss","30","[0,1]","resnet50_n=4_all","0.0001","all","resnet50","0.9","5000","4","resnet50_n=4_all","false","true","false","dino_baseline_fayoum_reduced_samples","15","7","ripeness","0.5060672760009766","0.45142728090286255","0.5508454442024231","0.5060672760009766","0.36900460720062256","0.3593631386756897","0.06961427493528886","0.4613021910190582","0.36900460720062256","0.40492352843284607","0.3810439705848694","5.501775644042275","0.4748931527137756","0.40492352843284607"
